alias, type, open_date, node_id, chan_id, capacity, opening_fee, commit_fee, commit_weight, fee_per_kw, rebalance_msats
lnmarkets, manual, 20220702, 03271338633d2d37b285dae4df40b413d8c6c791fbee7797bc5dc70812196d7d5c, 817314272010174464, 5000000, 154, 3160, 772, 2518, 18225
satimotolabs, manual, 20220702, 0385218f0e307b6a0e989d2a717d346942d96b4fd550e937de5f8ffe1568510a18, 817324167603159040, 4000000, 154, 1205, 772, 1346, 752000
Boltz, manual, 20220702, 026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2, 817419825078992896, 4000000, 154, 3451, 772, 2777, 5625
Kraken, manual, 20220703, 02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69, 817600145028218880, 10000000, 154, 1955, 772, 1740, 0
lightning_CZ, manual, 20220704, 02f0d769a72d4aa2dc07ae3c66582c3606330ac1778758923444ee5a5da805ef24, 817654021165023232, 2000000, 154, 4475, 772, 3982, 0
02fae89cbe71577b9cc9, lnplus, 20220705, 02fae89cbe71577b9cc93c59c9505f28a7e1a5666dd8c13d71826370ef1f5db7c9, 817794758529515520, 4000000, 763, 6212, 772, 5527, 0
fold, manual, 20220706, 02816caed43171d3c9854e3b0ab2cf0c42be086ff1bd4005acc2a5f7db70d83774, 817861828815618049, 5000000, 154, 5381, 772, 4788, 0
UmbrelGuy369, lnplus, 20220706, 02c10ada6c6bed574f216d4decb799743921da2ed13dc51c410bc9559c1f90acb9, 817889316663787520, 4000000, 0, 2810, 772, 2500, 0
Pouch.ph, lnplus, 20220708, 02343c19a39dd11cfc6f7571f36213dd52fb70ee45ee4074913d43891fb59579b5, 818176289084735489, 10000000, 0, 3140, 772, 2500, 0
Krubster, lnplus, 20220708, 034798271cef55c3b46716171a2bcbc53a0a3aaa9854f3f54bef03bb520d12aa9b, 818175189689237504, 10000000, 154, 6529, 772, 5809, 0
